platform,listing_id,canonical_sku,brand,seller_id,captured_at,list_price,sale_price,currency,shipping_fee,rating_avg,review_count,sold_count_window,sales_rank,active_flag,seller_type,fulfillment_type
Amazon,B0BWN2DTJD,B0BWN2DTJD,Art3d,A1HKIELT4BHXAW,2024-06-24 00:00:00.000,1.99990000000000002,1.61490000000000002,USD,0,4.5,110,100,11533,true,reseller,unknown
Amazon,B0CY242B8P,B0CY242B8P,FANTPK,A3IOWXCV4KFZ3Q,2024-06-24 00:00:00.000,1.19800000000000001,7.99000000000000000,USD,0,4.2,24,100,65126,true,reseller,unknown
Amazon,B084ZSPND4,B084ZSPND4,P&G PROFESSIONAL,A2IADVPD4QLEZ7,2022-10-05 00:00:00.000,0,41.49,USD,0,4.3,86,71,97644,false,reseller,unknown
Amazon,B089N74ZRN,B089N74ZRN,OLIGHT,ATVPDKIKX0DER,2023-05-29 00:00:00.000,0,64.95,USD,0,4.6,536,59,180201,true,reseller,unknown
Amazon,B099H8N6MN,B099H8N6MN,Posh Creations,ATVPDKIKX0DER,2024-04-30 00:00:00.000,5.17400000000000001,51.74,USD,0,4.3,7603,50,8305,true,reseller,unknown
Amazon,B002WKK86M,B002WKK86M,In The Swim,AGOKDG42D8KUC,2024-07-08 00:00:00.000,2.25600000000000001,1.95600000000000001,USD,0,4.5,356,900,3904,true,reseller,unknown
Amazon,B00EP7OGI6,B00EP7OGI6,Fruit of the Loom Women's IA,A5S85ITUTBVC4,2023-10-22 00:00:00.000,14.99,9.99,USD,0,4.4,876,46,422980,true,reseller,unknown
Amazon,B0BTH8F4CV,B0BTH8F4CV,IDZO,ATVPDKIKX0DER,2024-03-03 00:00:00.000,45.99,41.39,USD,0,4.4,56,100,3067,true,reseller,unknown
Amazon,B0816LQ1DL,B0816LQ1DL,GULEEK,ARFYHD01MRP41,2023-08-03 00:00:00.000,23.99,19.99,USD,0,4.1,3691,145,8997,false,reseller,unknown
Amazon,B07X3SXVFG,B07X3SXVFG,Fihapyli,A1G74W3VJGHK92,2023-08-08 00:00:00.000,29.98,21.98,USD,0,4.4,2102,48,365049,false,reseller,unknown
